code,name,value,correlation_cof,p_value,n,presentmentioned
MY,i.o._snopes,0.6434937985287389,0.6434937985287389,1.5697862091187385e-35,1,Present
MY,mannie_hait,0.8673762777448036,0.8673762777448036,6.924097520765885e-90,1,Present
MY,old_het,0.9837764524663329,0.9837764524663329,1.9275758905321092e-218,1,Present
MZG,mrs._gant,0.7106349405537834,0.7106349405537834,2.4369146640455027e-48,1,Present
MZG,zilphia_gant,0.6866145195721106,0.6866145195721106,5.398230380182879e-44,1,Present
OLD,sam_fathers,0.8810206410303056,0.8810206410303056,5.758142209391157e-50,2,Present
OLD,unnamed_boy_hunter,0.8784464900545181,0.8784464900545181,2.5434094732831604e-49,2,Present
PAN,rider,0.9512436766446062,0.9512436766446062,2.2815289480318826e-72,1,Present
POL,lucas_beauchamp,0.9827578472299049,0.9827578472299049,5.49109692911069e-153,2,Present
POL,nat_beauchamp_wilkins,0.6440080614443724,0.6440080614443724,9.31392108999099e-26,1,Present
RAI,bayard_sartoris,0.9191423423757235,0.9191423423757235,1.6254957726699392e-227,8,Present
RAI,denny_hawk,0.5272574726130089,0.5272574726130089,2.5546728311398145e-41,1,Present
RAI,drusilla_hawk,0.7003862356049056,0.7003862356049056,1.2960700824721869e-83,2,Present
RAI,ringo,0.6846659605965983,0.6846659605965983,1.5284075314032876e-78,8,Present
RAI,rosa_millard,0.6604866495413118,0.6604866495413118,2.4386267032722427e-71,5,Present
RAM,mister_ernest,0.9520827769139617,0.9520827769139617,1.0322805879940499e-116,1,Present
RAM,unnamed_narrator,0.988225883875855,0.988225883875855,8.314450113958863e-184,5,Present
RE,emily_grierson,0.7453094978755609,0.7453094978755609,1.2893555129327497e-29,1,Present
RET,bayard_sartoris,0.9503468700509375,0.9503468700509375,3.217272683528927e-261,8,Present
RET,colonel_john_sartoris,0.6451231639347134,0.6451231639347134,1.047685125365341e-61,2,Present
RET,joby,0.5274520450070991,0.5274520450070991,4.44433616298709e-38,3,Present
RET,ringo,0.9503468700509375,0.9503468700509375,3.217272683528927e-261,8,Present
RET,rosa_millard,0.5378644454106001,0.5378644454106001,8.33545679282366e-40,5,Present
RL,unnamed_enslaved_servant,0.576464811928944,0.576464811928944,1.5118840378929794e-53,1,Present
SAS,bayard_sartoris,0.9255418630999546,0.9255418630999546,3.406328317749882e-114,8,Present
SAS,drusilla_hawk,0.5565708122972362,0.5565708122972362,3.35831569598663e-23,2,Present
SAS,ringo,0.6434640474570508,0.6434640474570508,1.0096091217339154e-32,8,Present
SF,caddy_compson,0.9617074726283734,0.9617074726283734,0,1,Present
SF,quentin_compson,0.9816832373041579,0.9816832373041579,0,2,Present
SH,ad_snopes,0.6045142236891426,0.6045142236891426,1.576478704785085e-52,1,Present
SH,eck_snopes,0.6107796093916986,0.6107796093916986,7.097689404350567e-54,1,Present
SH,narrator,0.8414245607075969,0.8414245607075969,5.774745192164639e-139,1,Present
SL,armstid,0.5131239707520024,0.5131239707520024,5.170690900198947e-21,1,Present
SL,boy_grier,0.9612819168976539,0.9612819168976539,2.2553044054092556e-164,2,Present
