code,name,value,correlation_cof,p_value,n,presentmentioned
TWS,white_lower_class_male,1,1,0,23,Both
UNV,black_enslaved_black_male,0.7793252877969206,0.7793252877969206,9.002407522120231e-48,7,Both
UNV,white_upper_class_female,0.8530735270030857,0.8530735270030857,8.848810180675714e-66,13,Both
UNV,white_upper_class_male,0.9161194760982028,0.9161194760982028,1.1208554245424625e-91,36,Both
UV,black_enslaved_black_male,0.7866935153077891,0.7866935153077891,0,7,Both
UV,white_upper_class_female,0.6666085091645867,0.6666085091645867,1.0692426382486367e-301,13,Both
UV,white_upper_class_male,0.9861957779122671,0.9861957779122671,0,36,Both
UW,white_middle_class_male,0.9115757606723554,0.9115757606723554,3.3304546801250765e-77,13,Both
VEN,black_free_black_male,1,1,0,9,Both
VEN,white_upper_class_male,1,1,0,36,Both
W,white_poor_white_female,0.5425951435746486,0.5425951435746486,1.8984525247605492e-23,2,Both
W,white_poor_white_male,1,1,0,8,Both
W,white_upper_class_male,0.693729671910397,0.693729671910397,1.1702708012359151e-42,36,Both
AA,white_upper_class_female,0.9485606288515467,0.9485606288515467,0,12,Mentioned
ABH,white_lower_class_female,0.5408269796297905,0.5408269796297905,1.3746436485068352e-16,9,Mentioned
AD,white_lower_class_female,0.5481887759040005,0.5481887759040005,8.430484968488489e-31,9,Mentioned
AD,white_upper_class_male,0.8349960119172474,0.8349960119172474,8.399872294646116e-99,30,Mentioned
ADP,white_middle_class_male,0.5472694338056496,0.5472694338056496,2.813011697948838e-23,15,Mentioned
ADP,white_upper_class_male,0.7135575789244358,0.7135575789244358,7.323601475221742e-45,30,Mentioned
AMB,black_enslaved_black_female,1,1,0,1,Mentioned
AMB,white_upper_class_female,1,1,0,12,Mentioned
AMB,white_upper_class_male,1,1,0,30,Mentioned
BAR,mixedblackindian_free_black_male,0.6126164429782459,0.6126164429782459,7.483767161601658e-15,1,Mentioned
BB,white_upper_class_male,0.6861425295317429,0.6861425295317429,4.9267076778808317e-29,30,Mentioned
BE,white_middle_class_male,0.5672209170439073,0.5672209170439073,1.0498915741016214e-36,15,Mentioned
BE,white_upper_class_male,0.7310080839069099,0.7310080839069099,1.509339154608675e-70,30,Mentioned
CRT,indian_indian_tribal_leader_female,0.600261692809875,0.600261692809875,4.9007826646841665e-17,1,Mentioned
CRT,indian_indian_tribal_member_female,0.6557315989568431,0.6557315989568431,4.974523163326179e-21,1,Mentioned
CRT,mixedindianwhite_indian_tribal_leader_male,0.7451609995040652,0.7451609995040652,1.3413321934983628e-29,1,Mentioned
DD,white_middle_class_male,0.8176584794531895,0.8176584794531895,2.8759096632051865e-90,15,Mentioned
DEL,black_free_black_male,0.6267813976333152,0.6267813976333152,4.879572467399679e-21,7,Mentioned
DEL,white_upper_class_male,0.7945136148109812,0.7945136148109812,2.058607444030832e-40,30,Mentioned
